Closing the Achievement Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,"Metric City Rating - Weighted Diploma Rate, 4 Year - ELL","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - ELL","Population Percentage of Range - Weighted Diploma Rate, 4 Year - ELL","Metric Value - Weighted Diploma Rate, 4 Year - ELL","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Metric Score - Weighted Diploma Rate, 4 Year - ELL","Metric City Rating - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Population Percentage of Range - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric Value - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric Score - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric City Rating - Weighted Diploma Rate, 4 Year - Lowest Third City","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - Lowest Third City","Population Percentage of Range - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric Value - Weighted Diploma Rate, 4 Year - Lowest Third City","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric Score - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric City Rating - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Population Percentage of Range - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric Value - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric Score - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric City Rating - Percentage in Lowest Third City, College and Career Prep Course Index","Percentage of Enrollment - Percentage in Lowest Third City, College and Career Prep Course Index","Population Percentage of Range - Percentage in Lowest Third City, College and Career Prep Course Index","Metric Value - Percentage in Lowest Third City, College and Career Prep Course Index","Approaching Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Meeting Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Exceeding Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Metric Score - Percentage in Lowest Third City, College and Career Prep Course Index","Metric City Rating - Percentage in Lowest Third City, 4-year Non-Remediation Index","Percentage of Enrollment - Percentage in Lowest Third City, 4-year Non-Remediation Index","Population Percentage of Range - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric Value - Percentage in Lowest Third City, 4-year Non-Remediation Index","Approaching Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Meeting Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Exceeding Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric Score - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric City Rating - Percentage in Lowest Third City, PER, 6 Months After High School","Percentage of Enrollment - Percentage in Lowest Third City, PER, 6 Months After High School","Population Percentage of Range - Percentage in Lowest Third City, PER, 6 Months After High School","Metric Value - Percentage in Lowest Third City, PER, 6 Months After High School","Approaching Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Meeting Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Exceeding Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Metric Score - Percentage in Lowest Third City, PER, 6 Months After High School",,,,,,,
17K122,Pathways in Technology Early College High School (,N/A,2.0%,3.6%,,103.0%,163.9%,225.7%,,Approaching Target,15.3%,38.8%,193.3%,110.0%,197.0%,285.2%,2.96,Meeting Target,19.4%,29.1%,144.7%,71.2%,127.5%,184.6%,3.30,Exceeding Target,12.2%,31.3%,195.8%,65.3%,116.9%,169.2%,4.33,Exceeding Target,19.4%,29.1%,52.6%,7.3%,13.0%,18.9%,4.99,Exceeding Target,19.4%,29.1%,36.8%,1.4%,2.5%,3.7%,4.99,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
17K382,Academy for College Preparation and Career Explora,N/A,8.7%,15.6%,200.0%,103.0%,163.9%,225.7%,,Meeting Target,16.5%,41.9%,282.4%,110.0%,197.0%,285.2%,3.97,Meeting Target,47.6%,71.5%,159.2%,71.2%,127.5%,184.6%,3.56,Meeting Target,32.0%,82.1%,148.5%,65.3%,116.9%,169.2%,3.60,Approaching Target,47.6%,71.5%,12.2%,7.3%,13.0%,18.9%,2.86,Not Meeting Target,47.6%,71.5%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,50.0%,82.2%,41.3%,11.4%,20.4%,29.5%,4.85,,,,,,,
17K408,Academy of Hospitality and Tourism,Approaching Target,15.2%,27.3%,150.0%,103.0%,163.9%,225.7%,2.77,Approaching Target,20.3%,51.5%,181.3%,110.0%,197.0%,285.2%,2.82,Meeting Target,48.1%,72.2%,152.6%,71.2%,127.5%,184.6%,3.44,Meeting Target,24.1%,61.8%,136.8%,65.3%,116.9%,169.2%,3.38,Not Meeting Target,48.1%,72.2%,2.6%,7.3%,13.0%,18.9%,1.36,Meeting Target,48.1%,72.2%,2.6%,1.4%,2.5%,3.7%,3.08,Meeting Target,50.7%,83.4%,27.8%,11.4%,20.4%,29.5%,3.81,,,,,,,
17K524,International High School at Prospect Heights,Meeting Target,95.2%,100.0%,175.8%,103.0%,163.9%,225.7%,3.19,N/A,4.8%,12.2%,0.0%,110.0%,197.0%,285.2%,,Meeting Target,53.8%,80.8%,169.6%,71.2%,127.5%,184.6%,3.74,Meeting Target,23.1%,59.2%,154.2%,65.3%,116.9%,169.2%,3.71,Not Meeting Target,53.8%,80.8%,7.1%,7.3%,13.0%,18.9%,1.97,Exceeding Target,53.8%,80.8%,5.4%,1.4%,2.5%,3.7%,4.99,Exceeding Target,61.8%,100.0%,36.2%,11.4%,20.4%,29.5%,4.48,,,,,,,
17K528,The High School for Global Citizenship,Meeting Target,19.0%,34.1%,166.7%,103.0%,163.9%,225.7%,3.05,Approaching Target,14.3%,36.3%,172.2%,110.0%,197.0%,285.2%,2.71,Approaching Target,49.2%,73.9%,95.2%,71.2%,127.5%,184.6%,2.43,Not Meeting Target,27.0%,69.2%,47.1%,65.3%,116.9%,169.2%,1.72,Not Meeting Target,49.2%,73.9%,0.0%,7.3%,13.0%,18.9%,1.00,Not Meeting Target,49.2%,73.9%,0.0%,1.4%,2.5%,3.7%,1.00,Meeting Target,56.5%,92.9%,27.1%,11.4%,20.4%,29.5%,3.74,,,,,,,
17K531,"School for Human Rights, The",N/A,10.8%,19.4%,356.3%,103.0%,163.9%,225.7%,,Exceeding Target,12.2%,31.0%,466.7%,110.0%,197.0%,285.2%,4.99,Exceeding Target,36.5%,54.8%,214.8%,71.2%,127.5%,184.6%,4.35,Exceeding Target,20.3%,52.1%,213.3%,65.3%,116.9%,169.2%,4.55,Exceeding Target,36.5%,54.8%,29.6%,7.3%,13.0%,18.9%,4.99,Not Meeting Target,36.5%,54.8%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,35.4%,58.2%,43.5%,11.4%,20.4%,29.5%,4.99,,,,,,,
17K533,School for Democracy and  Leadership,N/A,2.3%,4.1%,,103.0%,163.9%,225.7%,,Approaching Target,18.6%,47.2%,125.0%,110.0%,197.0%,285.2%,2.17,Approaching Target,48.8%,73.3%,110.7%,71.2%,127.5%,184.6%,2.70,Approaching Target,25.6%,65.6%,109.1%,65.3%,116.9%,169.2%,2.85,Not Meeting Target,48.8%,73.3%,4.8%,7.3%,13.0%,18.9%,1.66,Approaching Target,48.8%,73.3%,2.4%,1.4%,2.5%,3.7%,2.91,Approaching Target,51.4%,84.5%,18.9%,11.4%,20.4%,29.5%,2.83,,,,,,,
17K537,High School for Youth and Community Development at,N/A,11.6%,20.8%,236.4%,103.0%,163.9%,225.7%,,Exceeding Target,27.4%,69.5%,326.9%,110.0%,197.0%,285.2%,4.31,Exceeding Target,48.4%,72.7%,221.7%,71.2%,127.5%,184.6%,4.43,Exceeding Target,32.6%,83.6%,219.4%,65.3%,116.9%,169.2%,4.63,Meeting Target,48.4%,72.7%,17.4%,7.3%,13.0%,18.9%,3.75,Exceeding Target,48.4%,72.7%,4.3%,1.4%,2.5%,3.7%,4.35,Exceeding Target,54.3%,89.3%,36.0%,11.4%,20.4%,29.5%,4.47,,,,,,,
17K539,High School for Service & Learning at Erasmus,Meeting Target,15.7%,28.2%,200.0%,103.0%,163.9%,225.7%,3.58,Meeting Target,25.6%,65.0%,264.5%,110.0%,197.0%,285.2%,3.77,Meeting Target,49.6%,74.5%,183.3%,71.2%,127.5%,184.6%,3.98,Meeting Target,38.8%,99.5%,163.8%,65.3%,116.9%,169.2%,3.90,Not Meeting Target,49.6%,74.5%,0.0%,7.3%,13.0%,18.9%,1.00,Meeting Target,49.6%,74.5%,3.3%,1.4%,2.5%,3.7%,3.67,Exceeding Target,47.2%,77.6%,43.1%,11.4%,20.4%,29.5%,4.98,,,,,,,
17K543,"Science, Technology and Research Early College Hig",N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,2.8%,7.1%,,110.0%,197.0%,285.2%,,N/A,4.2%,6.3%,,71.2%,127.5%,184.6%,,N/A,2.8%,7.2%,,65.3%,116.9%,169.2%,,N/A,4.2%,6.3%,,7.3%,13.0%,18.9%,,N/A,4.2%,6.3%,,1.4%,2.5%,3.7%,,N/A,11.8%,19.4%,60.0%,11.4%,20.4%,29.5%,,,,,,,,
17K544,International Arts Business School,N/A,16.7%,30.0%,,103.0%,163.9%,225.7%,,N/A,22.2%,56.3%,,110.0%,197.0%,285.2%,,Exceeding Target,44.4%,66.7%,250.0%,71.2%,127.5%,184.6%,4.75,N/A,22.2%,56.9%,,65.3%,116.9%,169.2%,,Approaching Target,44.4%,66.7%,12.5%,7.3%,13.0%,18.9%,2.91,Not Meeting Target,44.4%,66.7%,0.0%,1.4%,2.5%,3.7%,1.00,Meeting Target,43.3%,71.2%,26.9%,11.4%,20.4%,29.5%,3.71,,,,,,,
17K546,High School for Public Service: Heroes  of Tomorro,N/A,4.6%,8.3%,350.0%,103.0%,163.9%,225.7%,,N/A,6.5%,16.5%,371.4%,110.0%,197.0%,285.2%,,N/A,6.5%,9.8%,264.3%,71.2%,127.5%,184.6%,,N/A,3.7%,9.5%,,65.3%,116.9%,169.2%,,N/A,6.5%,9.8%,71.4%,7.3%,13.0%,18.9%,,N/A,6.5%,9.8%,14.3%,1.4%,2.5%,3.7%,,Exceeding Target,20.8%,34.2%,81.8%,11.4%,20.4%,29.5%,4.99,,,,,,,
17K547,Brooklyn Academy of Science and the Environment,N/A,10.6%,19.0%,213.3%,103.0%,163.9%,225.7%,,Exceeding Target,14.1%,35.8%,390.0%,110.0%,197.0%,285.2%,4.78,Exceeding Target,31.0%,46.5%,208.0%,71.2%,127.5%,184.6%,4.27,Exceeding Target,18.3%,46.9%,219.2%,65.3%,116.9%,169.2%,4.63,Meeting Target,31.0%,46.5%,15.9%,7.3%,13.0%,18.9%,3.49,Exceeding Target,31.0%,46.5%,9.1%,1.4%,2.5%,3.7%,4.99,Exceeding Target,38.6%,63.5%,38.5%,11.4%,20.4%,29.5%,4.65,,,,,,,
17K548,Brooklyn School for Music & Theatre,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,Exceeding Target,15.6%,39.6%,307.1%,110.0%,197.0%,285.2%,4.16,Exceeding Target,38.9%,58.4%,205.7%,71.2%,127.5%,184.6%,4.24,Exceeding Target,20.0%,51.3%,175.0%,65.3%,116.9%,169.2%,4.07,Meeting Target,38.9%,58.4%,14.3%,7.3%,13.0%,18.9%,3.22,Exceeding Target,38.9%,58.4%,17.1%,1.4%,2.5%,3.7%,4.99,Meeting Target,50.0%,82.2%,29.3%,11.4%,20.4%,29.5%,3.98,,,,,,,
17K590,Medgar Evers College Preparatory School,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,2.7%,6.9%,466.7%,110.0%,197.0%,285.2%,,N/A,5.0%,7.5%,254.5%,71.2%,127.5%,184.6%,,N/A,3.2%,8.2%,285.7%,65.3%,116.9%,169.2%,,N/A,5.0%,7.5%,36.4%,7.3%,13.0%,18.9%,,N/A,5.0%,7.5%,18.2%,1.4%,2.5%,3.7%,,N/A,5.8%,9.5%,46.2%,11.4%,20.4%,29.5%,,,,,,,,
17K600,Clara Barton High School,N/A,13.5%,24.2%,144.4%,103.0%,163.9%,225.7%,,Not Meeting Target,15.6%,39.6%,85.6%,110.0%,197.0%,285.2%,1.78,Approaching Target,36.6%,55.0%,80.7%,71.2%,127.5%,184.6%,2.17,Approaching Target,12.0%,30.8%,88.8%,65.3%,116.9%,169.2%,2.46,Meeting Target,36.6%,55.0%,17.2%,7.3%,13.0%,18.9%,3.71,Not Meeting Target,36.6%,55.0%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,33.4%,54.9%,30.9%,11.4%,20.4%,29.5%,4.10,,,,,,,
17K745,Brooklyn Institute for Liberal Arts,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,100.0%,100.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,100.0%,100.0%,,7.3%,13.0%,18.9%,,N/A,100.0%,100.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
17K751,Academy for Health Careers,N/A,7.4%,13.3%,266.7%,103.0%,163.9%,225.7%,,Meeting Target,14.8%,37.6%,225.0%,110.0%,197.0%,285.2%,3.32,Meeting Target,35.8%,53.8%,170.7%,71.2%,127.5%,184.6%,3.76,Exceeding Target,9.9%,25.4%,181.3%,65.3%,116.9%,169.2%,4.15,Not Meeting Target,35.8%,53.8%,0.0%,7.3%,13.0%,18.9%,1.00,Not Meeting Target,35.8%,53.8%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,38.7%,63.7%,33.3%,11.4%,20.4%,29.5%,4.27,,,,,,,
18K563,It Takes a Village Academy,Exceeding Target,33.6%,60.3%,322.5%,103.0%,163.9%,225.7%,4.99,Exceeding Target,13.4%,34.0%,406.3%,110.0%,197.0%,285.2%,4.90,Exceeding Target,49.6%,74.5%,327.1%,71.2%,127.5%,184.6%,4.99,Exceeding Target,31.1%,79.7%,318.9%,65.3%,116.9%,169.2%,4.99,Exceeding Target,49.6%,74.5%,61.0%,7.3%,13.0%,18.9%,4.99,Exceeding Target,49.6%,74.5%,10.2%,1.4%,2.5%,3.7%,4.99,Exceeding Target,54.1%,89.0%,71.7%,11.4%,20.4%,29.5%,4.99,,,,,,,
18K566,Brooklyn Generation School,N/A,9.8%,17.6%,225.0%,103.0%,163.9%,225.7%,,Approaching Target,17.1%,43.4%,178.6%,110.0%,197.0%,285.2%,2.79,Meeting Target,41.5%,62.3%,167.6%,71.2%,127.5%,184.6%,3.70,Approaching Target,15.9%,40.8%,69.2%,65.3%,116.9%,169.2%,2.08,Approaching Target,41.5%,62.3%,8.8%,7.3%,13.0%,18.9%,2.26,Not Meeting Target,41.5%,62.3%,0.0%,1.4%,2.5%,3.7%,1.00,Meeting Target,58.3%,95.9%,23.2%,11.4%,20.4%,29.5%,3.31,,,,,,,
18K567,Brooklyn Theatre Arts High School,N/A,4.3%,7.7%,,103.0%,163.9%,225.7%,,Meeting Target,21.3%,54.1%,255.0%,110.0%,197.0%,285.2%,3.66,Exceeding Target,50.0%,75.1%,230.9%,71.2%,127.5%,184.6%,4.53,Exceeding Target,21.3%,54.6%,175.0%,65.3%,116.9%,169.2%,4.07,Exceeding Target,50.0%,75.1%,57.4%,7.3%,13.0%,18.9%,4.99,Approaching Target,50.0%,75.1%,2.1%,1.4%,2.5%,3.7%,2.64,Exceeding Target,55.8%,91.8%,33.3%,11.4%,20.4%,29.5%,4.27,,,,,,,
18K569,Kurt Hahn Expeditionary Learning School,N/A,3.6%,6.5%,,103.0%,163.9%,225.7%,,Meeting Target,22.6%,57.4%,231.6%,110.0%,197.0%,285.2%,3.39,Meeting Target,41.7%,62.6%,170.0%,71.2%,127.5%,184.6%,3.74,Exceeding Target,28.6%,73.3%,193.8%,65.3%,116.9%,169.2%,4.31,Exceeding Target,41.7%,62.6%,51.4%,7.3%,13.0%,18.9%,4.99,Not Meeting Target,41.7%,62.6%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,39.0%,64.1%,47.8%,11.4%,20.4%,29.5%,4.99,,,,,,,
18K576,Victory Collegiate High School,N/A,2.6%,4.7%,,103.0%,163.9%,225.7%,,Meeting Target,19.5%,49.5%,273.3%,110.0%,197.0%,285.2%,3.87,Meeting Target,33.8%,50.8%,153.8%,71.2%,127.5%,184.6%,3.46,Meeting Target,16.9%,43.3%,130.8%,65.3%,116.9%,169.2%,3.27,Approaching Target,33.8%,50.8%,7.7%,7.3%,13.0%,18.9%,2.07,Not Meeting Target,33.8%,50.8%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,55.8%,91.8%,46.5%,11.4%,20.4%,29.5%,4.99,,,,,,,
18K589,Arts & Media Preparatory Academy,N/A,8.6%,15.4%,42.9%,103.0%,163.9%,225.7%,,Not Meeting Target,21.0%,53.3%,17.6%,110.0%,197.0%,285.2%,1.16,Not Meeting Target,43.2%,64.9%,54.3%,71.2%,127.5%,184.6%,1.76,Not Meeting Target,19.8%,50.8%,25.0%,65.3%,116.9%,169.2%,1.38,Exceeding Target,43.2%,64.9%,42.9%,7.3%,13.0%,18.9%,4.99,Not Meeting Target,43.2%,64.9%,0.0%,1.4%,2.5%,3.7%,1.00,Meeting Target,60.0%,98.7%,24.2%,11.4%,20.4%,29.5%,3.42,,,,,,,
18K617,High School for Innovation in Advertising and Medi,Meeting Target,15.2%,27.3%,165.0%,103.0%,163.9%,225.7%,3.02,Meeting Target,16.7%,42.4%,277.3%,110.0%,197.0%,285.2%,3.91,Exceeding Target,33.3%,50.0%,200.0%,71.2%,127.5%,184.6%,4.18,Exceeding Target,19.7%,50.5%,226.9%,65.3%,116.9%,169.2%,4.72,Exceeding Target,33.3%,50.0%,40.9%,7.3%,13.0%,18.9%,4.99,Exceeding Target,33.3%,50.0%,9.1%,1.4%,2.5%,3.7%,4.99,Exceeding Target,51.5%,84.7%,38.2%,11.4%,20.4%,29.5%,4.63,,,,,,,
18K629,Cultural Academy for the Arts and Sciences,N/A,2.7%,4.8%,,103.0%,163.9%,225.7%,,Approaching Target,20.0%,50.8%,193.3%,110.0%,197.0%,285.2%,2.96,Meeting Target,45.3%,68.0%,150.0%,71.2%,127.5%,184.6%,3.39,Meeting Target,26.7%,68.5%,130.0%,65.3%,116.9%,169.2%,3.25,Exceeding Target,45.3%,68.0%,23.5%,7.3%,13.0%,18.9%,4.52,Meeting Target,45.3%,68.0%,2.9%,1.4%,2.5%,3.7%,3.33,Meeting Target,52.6%,86.5%,27.5%,11.4%,20.4%,29.5%,3.78,,,,,,,
18K633,High School for Medical Professions,N/A,3.9%,7.0%,,103.0%,163.9%,225.7%,,Exceeding Target,14.6%,37.1%,293.3%,110.0%,197.0%,285.2%,4.06,Exceeding Target,19.4%,29.1%,195.0%,71.2%,127.5%,184.6%,4.12,Exceeding Target,10.7%,27.4%,181.8%,65.3%,116.9%,169.2%,4.16,Not Meeting Target,19.4%,29.1%,0.0%,7.3%,13.0%,18.9%,1.00,Not Meeting Target,19.4%,29.1%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,31.9%,52.5%,47.4%,11.4%,20.4%,29.5%,4.99,,,,,,,
18K637,Academy for Conservation and the Environment,Meeting Target,15.9%,28.5%,210.0%,103.0%,163.9%,225.7%,3.75,Exceeding Target,17.5%,44.4%,318.2%,110.0%,197.0%,285.2%,4.24,Exceeding Target,36.5%,54.8%,226.1%,71.2%,127.5%,184.6%,4.48,Exceeding Target,20.6%,52.8%,184.6%,65.3%,116.9%,169.2%,4.19,Not Meeting Target,36.5%,54.8%,0.0%,7.3%,13.0%,18.9%,1.00,Exceeding Target,36.5%,54.8%,4.3%,1.4%,2.5%,3.7%,4.35,Meeting Target,51.6%,84.9%,21.9%,11.4%,20.4%,29.5%,3.16,,,,,,,
18K642,Urban Action Academy,N/A,9.0%,16.2%,85.7%,103.0%,163.9%,225.7%,,Approaching Target,11.5%,29.2%,133.3%,110.0%,197.0%,285.2%,2.27,Approaching Target,44.9%,67.4%,111.4%,71.2%,127.5%,184.6%,2.71,Approaching Target,29.5%,75.6%,91.3%,65.3%,116.9%,169.2%,2.50,Not Meeting Target,44.9%,67.4%,5.7%,7.3%,13.0%,18.9%,1.78,Not Meeting Target,44.9%,67.4%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,44.6%,73.4%,40.5%,11.4%,20.4%,29.5%,4.79,,,,,,,
19K404,Academy for Young Writers,N/A,5.9%,10.6%,200.0%,103.0%,163.9%,225.7%,,Approaching Target,15.3%,38.8%,176.9%,110.0%,197.0%,285.2%,2.77,Approaching Target,38.8%,58.3%,100.0%,71.2%,127.5%,184.6%,2.51,Not Meeting Target,15.3%,39.2%,53.8%,65.3%,116.9%,169.2%,1.82,Not Meeting Target,38.8%,58.3%,3.0%,7.3%,13.0%,18.9%,1.41,Not Meeting Target,38.8%,58.3%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,46.7%,76.8%,34.3%,11.4%,20.4%,29.5%,4.35,,,,,,,
19K409,East New York Family Academy,N/A,2.9%,5.2%,,103.0%,163.9%,225.7%,,N/A,2.9%,7.4%,,110.0%,197.0%,285.2%,,Meeting Target,17.4%,26.1%,183.3%,71.2%,127.5%,184.6%,3.98,N/A,8.7%,22.3%,266.7%,65.3%,116.9%,169.2%,,Approaching Target,17.4%,26.1%,8.3%,7.3%,13.0%,18.9%,2.18,Not Meeting Target,17.4%,26.1%,0.0%,1.4%,2.5%,3.7%,1.00,N/A,12.7%,20.9%,57.1%,11.4%,20.4%,29.5%,,,,,,,,
19K502,FDNY High School for Fire and Life Safety,N/A,4.6%,8.3%,,103.0%,163.9%,225.7%,,Exceeding Target,32.3%,82.0%,345.2%,110.0%,197.0%,285.2%,4.45,Exceeding Target,58.5%,87.8%,272.4%,71.2%,127.5%,184.6%,4.99,Exceeding Target,49.2%,100.0%,284.4%,65.3%,116.9%,169.2%,4.99,Exceeding Target,58.5%,87.8%,34.2%,7.3%,13.0%,18.9%,4.99,Exceeding Target,58.5%,87.8%,34.2%,1.4%,2.5%,3.7%,4.99,Meeting Target,53.7%,88.3%,23.5%,11.4%,20.4%,29.5%,3.34,,,,,,,
19K504,High School for Civil Rights,N/A,10.4%,18.7%,190.9%,103.0%,163.9%,225.7%,,Meeting Target,31.1%,78.9%,219.7%,110.0%,197.0%,285.2%,3.26,Exceeding Target,53.8%,80.8%,197.4%,71.2%,127.5%,184.6%,4.15,Exceeding Target,31.1%,79.7%,222.7%,65.3%,116.9%,169.2%,4.67,Meeting Target,53.8%,80.8%,14.0%,7.3%,13.0%,18.9%,3.17,Exceeding Target,53.8%,80.8%,14.0%,1.4%,2.5%,3.7%,4.99,Approaching Target,70.2%,100.0%,12.6%,11.4%,20.4%,29.5%,2.13,,,,,,,
19K507,Performing Arts and Technology High School,N/A,1.9%,3.4%,,103.0%,163.9%,225.7%,,Meeting Target,17.6%,44.7%,247.4%,110.0%,197.0%,285.2%,3.57,Meeting Target,52.8%,79.3%,166.7%,71.2%,127.5%,184.6%,3.69,Meeting Target,29.6%,75.9%,150.0%,65.3%,116.9%,169.2%,3.63,Not Meeting Target,52.8%,79.3%,0.0%,7.3%,13.0%,18.9%,1.00,Not Meeting Target,52.8%,79.3%,0.0%,1.4%,2.5%,3.7%,1.00,Meeting Target,53.6%,88.2%,21.7%,11.4%,20.4%,29.5%,3.14,,,,,,,
19K510,World Academy for Total Community Health High Scho,N/A,10.2%,18.3%,161.1%,103.0%,163.9%,225.7%,,Approaching Target,22.7%,57.6%,175.0%,110.0%,197.0%,285.2%,2.75,Meeting Target,43.2%,64.9%,168.4%,71.2%,127.5%,184.6%,3.72,Exceeding Target,17.0%,43.6%,173.3%,65.3%,116.9%,169.2%,4.05,Exceeding Target,43.2%,64.9%,28.9%,7.3%,13.0%,18.9%,4.99,Meeting Target,43.2%,64.9%,2.6%,1.4%,2.5%,3.7%,3.08,Meeting Target,51.4%,84.5%,21.8%,11.4%,20.4%,29.5%,3.15,,,,,,,
19K583,Multicultural High School,Meeting Target,100.0%,100.0%,171.4%,103.0%,163.9%,225.7%,3.12,N/A,1.4%,3.6%,,110.0%,197.0%,285.2%,,Meeting Target,65.7%,98.6%,150.0%,71.2%,127.5%,184.6%,3.39,Meeting Target,41.4%,100.0%,120.7%,65.3%,116.9%,169.2%,3.07,Exceeding Target,65.7%,98.6%,30.4%,7.3%,13.0%,18.9%,4.99,Not Meeting Target,65.7%,98.6%,0.0%,1.4%,2.5%,3.7%,1.00,Meeting Target,62.4%,100.0%,28.6%,11.4%,20.4%,29.5%,3.90,,,,,,,
19K615,Transit Tech Career and Technical Education High S,N/A,5.6%,10.1%,92.3%,103.0%,163.9%,225.7%,,Approaching Target,17.1%,43.4%,196.3%,110.0%,197.0%,285.2%,2.99,Approaching Target,47.0%,70.6%,114.1%,71.2%,127.5%,184.6%,2.76,Meeting Target,38.0%,97.4%,125.8%,65.3%,116.9%,169.2%,3.17,Meeting Target,47.0%,70.6%,18.2%,7.3%,13.0%,18.9%,3.88,Not Meeting Target,47.0%,70.6%,0.0%,1.4%,2.5%,3.7%,1.00,Meeting Target,45.0%,74.0%,21.5%,11.4%,20.4%,29.5%,3.12,,,,,,,
19K618,Academy of Innovative Technology,N/A,9.6%,17.2%,181.8%,103.0%,163.9%,225.7%,,Meeting Target,22.6%,57.4%,246.2%,110.0%,197.0%,285.2%,3.56,Meeting Target,47.0%,70.6%,184.3%,71.2%,127.5%,184.6%,3.99,Exceeding Target,33.9%,86.9%,191.0%,65.3%,116.9%,169.2%,4.27,Meeting Target,47.0%,70.6%,16.7%,7.3%,13.0%,18.9%,3.63,Approaching Target,47.0%,70.6%,1.9%,1.4%,2.5%,3.7%,2.45,Exceeding Target,50.0%,82.2%,40.9%,11.4%,20.4%,29.5%,4.82,,,,,,,
19K639,Brooklyn Lab School,Approaching Target,27.7%,49.7%,128.8%,103.0%,163.9%,225.7%,2.42,Approaching Target,21.3%,54.1%,157.5%,110.0%,197.0%,285.2%,2.55,Approaching Target,54.3%,81.5%,113.7%,71.2%,127.5%,184.6%,2.75,Meeting Target,33.0%,84.6%,130.6%,65.3%,116.9%,169.2%,3.26,Not Meeting Target,54.3%,81.5%,3.9%,7.3%,13.0%,18.9%,1.53,Approaching Target,54.3%,81.5%,2.0%,1.4%,2.5%,3.7%,2.55,Exceeding Target,55.6%,91.4%,30.0%,11.4%,20.4%,29.5%,4.04,,,,,,,
